city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Newcastle,E-commerce,Data Analyst,6,14.66,PyTorch,1
Cairns,Manufacturing,Data Analyst,4,11.86,AWS AI,1
Newcastle,EdTech,AI Researcher,0,8.15,AWS AI,1
Cairns,Manufacturing,AI Researcher,4,17.57,ChatGPT,1
Perth,Healthcare,Data Scientist,9,22.64,AWS AI,1
Melbourne,E-commerce,AI Engineer,2,5.15,AWS AI,1
Perth,E-commerce,Data Analyst,7,21.65,Scikit-learn,1
Sydney,Manufacturing,Data Analyst,0,6.77,TensorFlow,1
Newcastle,EdTech,AI Researcher,5,19.67,Scikit-learn,1
Perth,Healthcare,Data Scientist,7,14.7,AWS AI,1
Melbourne,IT,AI Engineer,8,18.66,TensorFlow,1
Perth,E-commerce,Data Scientist,0,3.0,Azure AI,0
Cairns,Finance,AI Engineer,11,25.52,Azure AI,0
Townsville,Manufacturing,Data Scientist,4,11.72,TensorFlow,0
Townsville,Manufacturing,ML Engineer,10,25.34,Scikit-learn,1
Adelaide,IT,Data Analyst,0,3.0,TensorFlow,1
Sydney,E-commerce,Data Scientist,8,19.82,TensorFlow,1
Cairns,E-commerce,AI Researcher,6,19.83,Azure AI,0
Perth,EdTech,ML Engineer,10,30.08,Scikit-learn,1
Adelaide,IT,AI Engineer,9,23.43,Azure AI,1
Wollongong,Healthcare,AI Researcher,7,25.83,Azure AI,1
Cairns,E-commerce,AI Researcher,3,16.69,AWS AI,1
Adelaide,EdTech,Data Analyst,8,19.54,TensorFlow,1
Adelaide,IT,AI Engineer,9,21.99,TensorFlow,1
Sydney,Finance,ML Engineer,8,21.2,TensorFlow,0
Brisbane,E-commerce,AI Engineer,11,23.64,AWS AI,1
Adelaide,Finance,ML Engineer,11,30.41,ChatGPT,1
Perth,Manufacturing,AI Engineer,8,19.73,Azure AI,1
Perth,Manufacturing,ML Engineer,6,16.01,TensorFlow,1
Sydney,E-commerce,AI Engineer,4,10.3,ChatGPT,1
Perth,IT,Data Scientist,5,13.31,Scikit-learn,1
Gold Coast,E-commerce,AI Engineer,9,23.72,AWS AI,1
Melbourne,IT,AI Engineer,9,22.0,Azure AI,1
Gold Coast,IT,Data Scientist,1,6.45,PyTorch,1
Sydney,E-commerce,AI Engineer,2,10.73,Scikit-learn,0
Newcastle,Healthcare,Data Scientist,4,11.25,ChatGPT,0
Adelaide,EdTech,Data Scientist,8,21.07,PyTorch,1
Wollongong,IT,AI Researcher,11,30.19,PyTorch,1
Newcastle,EdTech,AI Researcher,10,29.49,TensorFlow,1
Gold Coast,IT,AI Engineer,9,22.12,Scikit-learn,1
Wollongong,Manufacturing,AI Researcher,10,30.1,AWS AI,1
Perth,E-commerce,Data Scientist,3,7.57,TensorFlow,1
Cairns,IT,AI Researcher,10,28.07,TensorFlow,0
Adelaide,E-commerce,Data Scientist,10,25.19,Azure AI,1
Townsville,Finance,ML Engineer,0,6.84,TensorFlow,1
Townsville,Healthcare,Data Analyst,3,8.08,ChatGPT,0
Adelaide,E-commerce,ML Engineer,1,5.42,AWS AI,0
Wollongong,Manufacturing,AI Engineer,9,21.42,TensorFlow,1
Wollongong,Healthcare,Data Scientist,4,13.75,TensorFlow,1
Melbourne,Finance,ML Engineer,8,23.28,AWS AI,0
Sydney,EdTech,Data Analyst,10,25.53,ChatGPT,0
Cairns,IT,ML Engineer,0,5.49,Scikit-learn,1
Perth,Healthcare,AI Engineer,4,13.06,Azure AI,0
Newcastle,Finance,Data Scientist,9,18.16,TensorFlow,0
Townsville,EdTech,AI Researcher,3,15.69,Scikit-learn,1
Newcastle,Healthcare,Data Analyst,1,4.04,AWS AI,1
Gold Coast,EdTech,ML Engineer,0,7.73,ChatGPT,0
Gold Coast,Finance,Data Analyst,6,13.78,TensorFlow,1
Perth,IT,AI Engineer,3,11.83,ChatGPT,0
Wollongong,Healthcare,AI Engineer,9,24.21,AWS AI,1
Townsville,E-commerce,ML Engineer,6,20.28,TensorFlow,1
Townsville,IT,ML Engineer,0,6.91,Scikit-learn,1
Brisbane,EdTech,Data Scientist,4,14.78,Azure AI,1
Brisbane,EdTech,ML Engineer,4,11.43,Azure AI,1
Wollongong,E-commerce,ML Engineer,10,27.62,AWS AI,0
Melbourne,IT,Data Scientist,6,15.71,Scikit-learn,1
Townsville,Healthcare,AI Researcher,7,23.1,AWS AI,1
Perth,IT,Data Scientist,1,8.75,Azure AI,0
Perth,EdTech,AI Engineer,4,11.19,TensorFlow,1
Townsville,IT,AI Researcher,9,24.47,Azure AI,1
Sydney,Finance,ML Engineer,4,15.57,TensorFlow,1
Adelaide,Manufacturing,ML Engineer,6,18.37,Azure AI,1
Sydney,Healthcare,AI Engineer,7,19.37,TensorFlow,0
Sydney,Manufacturing,AI Engineer,7,22.03,TensorFlow,0
Wollongong,IT,AI Researcher,9,23.79,TensorFlow,1
Adelaide,Healthcare,ML Engineer,7,20.76,TensorFlow,0
Townsville,Manufacturing,ML Engineer,5,19.01,AWS AI,1
Adelaide,Manufacturing,ML Engineer,5,10.97,Scikit-learn,1
Sydney,Manufacturing,Data Scientist,3,9.98,Azure AI,0
Townsville,Manufacturing,AI Researcher,4,15.72,TensorFlow,0
Gold Coast,Healthcare,AI Engineer,4,12.21,Scikit-learn,1
Brisbane,EdTech,Data Analyst,4,10.89,Azure AI,0
Cairns,Manufacturing,AI Engineer,1,3.0,TensorFlow,0
Brisbane,EdTech,ML Engineer,4,11.19,AWS AI,1
Brisbane,Manufacturing,Data Scientist,1,5.09,TensorFlow,0
Townsville,E-commerce,Data Analyst,3,9.09,Azure AI,1
Townsville,Healthcare,Data Scientist,5,14.85,PyTorch,1
Brisbane,Healthcare,Data Scientist,5,13.97,AWS AI,1
Newcastle,EdTech,ML Engineer,11,28.31,PyTorch,1
Townsville,Finance,AI Researcher,5,14.02,TensorFlow,0
Gold Coast,EdTech,AI Engineer,5,14.58,TensorFlow,1
Brisbane,Finance,Data Scientist,5,16.07,PyTorch,1
Newcastle,IT,AI Engineer,1,4.23,Scikit-learn,0
Townsville,Healthcare,Data Analyst,5,15.29,AWS AI,1
Brisbane,EdTech,AI Engineer,3,11.3,ChatGPT,0
Gold Coast,Finance,Data Analyst,7,14.93,Azure AI,0
Gold Coast,IT,AI Researcher,9,26.3,PyTorch,0
Adelaide,IT,Data Analyst,7,19.56,PyTorch,0
Adelaide,IT,Data Analyst,3,6.25,ChatGPT,1
Wollongong,E-commerce,ML Engineer,7,18.59,PyTorch,1
Newcastle,Manufacturing,AI Engineer,9,21.95,PyTorch,1
Cairns,E-commerce,AI Engineer,8,18.21,PyTorch,0
Sydney,E-commerce,AI Researcher,2,13.77,Scikit-learn,1
Sydney,Healthcare,ML Engineer,5,16.51,ChatGPT,0
Sydney,E-commerce,AI Researcher,8,25.57,Scikit-learn,0
Townsville,EdTech,Data Scientist,0,5.85,Azure AI,1
Gold Coast,Manufacturing,Data Analyst,4,13.64,ChatGPT,1
Sydney,EdTech,Data Analyst,0,3.0,Scikit-learn,1
Perth,EdTech,Data Analyst,0,4.44,AWS AI,1
Brisbane,EdTech,Data Scientist,2,7.31,TensorFlow,1
Wollongong,IT,AI Researcher,7,24.45,PyTorch,1
Perth,Healthcare,Data Analyst,6,14.87,PyTorch,1
Newcastle,IT,Data Scientist,4,13.57,PyTorch,1
Perth,Manufacturing,ML Engineer,5,15.2,Scikit-learn,1
Townsville,E-commerce,ML Engineer,3,9.7,ChatGPT,1
Gold Coast,E-commerce,AI Engineer,5,11.78,Azure AI,1
Perth,Manufacturing,AI Researcher,8,23.8,ChatGPT,1
Melbourne,Manufacturing,ML Engineer,0,4.43,ChatGPT,0
Perth,Finance,ML Engineer,0,3.0,ChatGPT,0
Perth,Manufacturing,ML Engineer,2,7.59,ChatGPT,0
Perth,E-commerce,Data Analyst,1,3.0,Scikit-learn,1
Cairns,IT,Data Analyst,11,29.65,TensorFlow,1
Melbourne,EdTech,ML Engineer,6,19.71,AWS AI,0
Gold Coast,Finance,Data Scientist,11,23.48,ChatGPT,1
Brisbane,EdTech,ML Engineer,4,12.48,Azure AI,0
Adelaide,E-commerce,Data Analyst,3,13.26,TensorFlow,0
Wollongong,Manufacturing,AI Researcher,5,16.5,TensorFlow,1
Newcastle,Finance,AI Researcher,11,30.68,TensorFlow,1
Adelaide,Healthcare,AI Engineer,8,21.45,AWS AI,1
Perth,Healthcare,AI Engineer,3,10.76,PyTorch,1
Perth,IT,Data Analyst,6,14.32,PyTorch,0
Brisbane,Finance,AI Engineer,1,5.96,Scikit-learn,1
Adelaide,Healthcare,AI Researcher,7,23.16,Scikit-learn,0
Brisbane,E-commerce,Data Analyst,0,5.18,Azure AI,1
Cairns,Finance,Data Scientist,6,14.62,Scikit-learn,0
Cairns,Finance,Data Analyst,6,18.96,ChatGPT,1
Newcastle,Manufacturing,Data Analyst,3,7.79,ChatGPT,1
Cairns,Healthcare,Data Scientist,4,10.15,TensorFlow,0
Cairns,IT,Data Analyst,5,14.42,AWS AI,1
Wollongong,IT,Data Scientist,7,18.26,AWS AI,1
Newcastle,Finance,AI Engineer,6,17.47,Scikit-learn,1
Perth,EdTech,Data Scientist,1,3.0,ChatGPT,1
Melbourne,IT,ML Engineer,6,18.78,ChatGPT,1
Cairns,Finance,Data Analyst,10,25.98,PyTorch,0
Gold Coast,E-commerce,AI Engineer,3,11.04,AWS AI,1
Adelaide,Manufacturing,Data Scientist,6,15.46,PyTorch,1
Gold Coast,EdTech,AI Researcher,11,32.42,AWS AI,1
Adelaide,Finance,ML Engineer,8,21.07,ChatGPT,1
Cairns,Manufacturing,Data Analyst,6,15.92,Azure AI,1
Brisbane,EdTech,ML Engineer,6,19.14,PyTorch,1
Brisbane,Healthcare,Data Scientist,8,21.28,Scikit-learn,1
Sydney,E-commerce,Data Scientist,2,10.63,Scikit-learn,1
Newcastle,IT,AI Engineer,10,23.77,Azure AI,1
Gold Coast,Healthcare,ML Engineer,3,12.56,Scikit-learn,1
Cairns,Finance,Data Analyst,3,8.94,ChatGPT,1
Melbourne,Manufacturing,Data Analyst,9,22.17,AWS AI,1
Cairns,IT,ML Engineer,6,17.32,AWS AI,0
Gold Coast,IT,Data Analyst,2,8.93,Scikit-learn,1
Townsville,IT,Data Scientist,10,22.52,ChatGPT,1
Townsville,IT,Data Analyst,6,14.93,PyTorch,1
Newcastle,Manufacturing,AI Researcher,8,24.94,TensorFlow,1
Sydney,IT,AI Engineer,8,18.89,AWS AI,1
Newcastle,Healthcare,ML Engineer,5,15.58,Scikit-learn,1
Wollongong,IT,Data Scientist,8,22.92,PyTorch,0
Brisbane,E-commerce,AI Researcher,7,20.78,ChatGPT,1
Cairns,Manufacturing,Data Analyst,6,18.19,AWS AI,0
Adelaide,IT,ML Engineer,4,17.06,PyTorch,1
Adelaide,EdTech,ML Engineer,2,11.0,Scikit-learn,0
Townsville,Manufacturing,Data Analyst,3,7.22,Scikit-learn,1
Perth,IT,Data Scientist,3,12.54,TensorFlow,1
Cairns,Manufacturing,Data Analyst,6,14.42,AWS AI,1
Cairns,Healthcare,AI Engineer,10,25.81,TensorFlow,0
Cairns,EdTech,Data Analyst,6,16.05,PyTorch,1
Melbourne,Manufacturing,AI Researcher,5,17.13,ChatGPT,1
Melbourne,Manufacturing,Data Scientist,11,25.48,TensorFlow,0
Wollongong,EdTech,Data Analyst,11,25.58,Scikit-learn,1
Melbourne,Healthcare,AI Engineer,2,8.88,PyTorch,1
Cairns,Manufacturing,ML Engineer,5,14.04,AWS AI,1
Wollongong,Manufacturing,Data Scientist,3,10.75,Azure AI,1
Brisbane,Finance,AI Engineer,6,14.96,TensorFlow,0
Sydney,IT,AI Engineer,5,13.54,PyTorch,1
Adelaide,Healthcare,Data Scientist,1,3.24,TensorFlow,1
Adelaide,Manufacturing,ML Engineer,6,19.48,PyTorch,1
Gold Coast,EdTech,ML Engineer,9,22.96,TensorFlow,1
Melbourne,Healthcare,AI Researcher,9,30.4,TensorFlow,0
Cairns,E-commerce,Data Analyst,6,13.52,AWS AI,0
Brisbane,EdTech,AI Researcher,11,27.95,AWS AI,0
Sydney,IT,ML Engineer,2,11.42,PyTorch,1
Perth,EdTech,ML Engineer,4,13.6,Azure AI,0
Perth,IT,AI Researcher,7,22.84,PyTorch,1
Wollongong,Healthcare,Data Scientist,8,18.66,Scikit-learn,1
Wollongong,Manufacturing,AI Engineer,11,26.0,ChatGPT,1
Adelaide,Finance,AI Engineer,5,11.61,TensorFlow,1
Gold Coast,EdTech,ML Engineer,6,16.94,Scikit-learn,1
Townsville,EdTech,Data Scientist,6,15.29,Azure AI,1
Adelaide,EdTech,AI Engineer,6,16.46,PyTorch,1
Adelaide,IT,Data Analyst,8,15.55,ChatGPT,1
Sydney,EdTech,Data Scientist,1,10.01,ChatGPT,0
Perth,IT,AI Engineer,6,17.69,TensorFlow,1
Sydney,Manufacturing,Data Scientist,0,3.0,Azure AI,0
Gold Coast,Finance,AI Researcher,9,24.66,Azure AI,1
Sydney,IT,ML Engineer,10,27.96,AWS AI,1
Adelaide,IT,ML Engineer,9,28.75,Azure AI,0
Sydney,IT,ML Engineer,1,7.13,PyTorch,0
Adelaide,E-commerce,AI Engineer,11,25.09,Scikit-learn,1
Sydney,IT,AI Engineer,2,8.03,TensorFlow,0
Perth,IT,AI Researcher,9,29.26,PyTorch,1
Cairns,Manufacturing,Data Scientist,11,25.24,ChatGPT,1
Cairns,Healthcare,Data Analyst,11,23.58,ChatGPT,1
Adelaide,Finance,AI Engineer,5,12.39,Scikit-learn,1
Sydney,EdTech,Data Analyst,9,24.44,PyTorch,1
Townsville,Finance,Data Analyst,0,5.12,TensorFlow,1
Sydney,Manufacturing,AI Engineer,10,23.46,TensorFlow,1
Newcastle,EdTech,AI Engineer,1,5.63,TensorFlow,0
Newcastle,Manufacturing,Data Scientist,5,11.6,PyTorch,1
Brisbane,E-commerce,AI Engineer,4,11.75,TensorFlow,0
Wollongong,Manufacturing,AI Researcher,2,12.21,PyTorch,1
Gold Coast,Finance,AI Researcher,9,29.43,PyTorch,1
Wollongong,IT,Data Scientist,10,26.65,TensorFlow,1
Townsville,Manufacturing,Data Analyst,9,22.28,Scikit-learn,1
Melbourne,Manufacturing,Data Analyst,11,25.19,Azure AI,1
Perth,Manufacturing,Data Scientist,11,22.53,Azure AI,1
Brisbane,Finance,Data Analyst,2,9.1,AWS AI,0
Perth,IT,Data Scientist,8,22.07,AWS AI,0
Sydney,EdTech,Data Scientist,11,27.84,AWS AI,0
Perth,Manufacturing,ML Engineer,0,3.91,AWS AI,1
Townsville,EdTech,AI Engineer,2,5.13,ChatGPT,1
Brisbane,IT,ML Engineer,4,14.9,PyTorch,1
Gold Coast,IT,AI Engineer,0,3.0,TensorFlow,0
Melbourne,EdTech,Data Scientist,3,7.61,Azure AI,0
Newcastle,Finance,Data Scientist,2,8.5,AWS AI,1
Newcastle,Manufacturing,Data Analyst,11,24.9,PyTorch,0
Wollongong,Manufacturing,AI Researcher,1,13.64,Azure AI,1
Wollongong,Finance,Data Scientist,7,16.63,Azure AI,0
Wollongong,EdTech,AI Researcher,6,16.24,ChatGPT,1
Cairns,Healthcare,Data Scientist,10,25.78,AWS AI,1
Adelaide,Finance,Data Analyst,6,11.67,Scikit-learn,1
Perth,Healthcare,AI Engineer,5,13.98,AWS AI,1
Newcastle,IT,Data Analyst,5,10.3,ChatGPT,0
Cairns,IT,ML Engineer,7,19.22,ChatGPT,0
Brisbane,EdTech,Data Analyst,10,21.31,TensorFlow,1
Wollongong,IT,Data Scientist,8,18.59,PyTorch,0
Townsville,E-commerce,ML Engineer,11,25.35,Scikit-learn,0
Adelaide,EdTech,AI Researcher,8,21.95,PyTorch,1
Melbourne,EdTech,ML Engineer,6,19.67,PyTorch,0
Melbourne,IT,Data Scientist,1,3.0,Azure AI,1
Townsville,E-commerce,ML Engineer,1,9.24,Azure AI,0
Gold Coast,Healthcare,Data Scientist,4,11.0,Scikit-learn,0
Newcastle,EdTech,ML Engineer,7,21.01,ChatGPT,1
Newcastle,Manufacturing,Data Analyst,7,19.28,TensorFlow,1
Adelaide,Healthcare,Data Scientist,8,19.63,Scikit-learn,1
Melbourne,Finance,Data Scientist,10,26.36,TensorFlow,1
Cairns,Finance,Data Scientist,7,19.27,ChatGPT,0
Melbourne,E-commerce,Data Analyst,9,21.31,Azure AI,1
Adelaide,EdTech,AI Engineer,10,24.93,TensorFlow,0
Perth,EdTech,ML Engineer,8,24.47,AWS AI,0
Perth,Manufacturing,AI Engineer,0,3.0,TensorFlow,1
Adelaide,E-commerce,Data Analyst,5,15.18,AWS AI,1
Melbourne,IT,Data Analyst,2,7.33,Azure AI,1
Adelaide,Healthcare,ML Engineer,2,11.03,ChatGPT,1
Perth,Finance,AI Engineer,8,20.68,PyTorch,0
Cairns,IT,ML Engineer,2,11.98,Scikit-learn,1
Townsville,E-commerce,AI Engineer,1,7.29,ChatGPT,1
Gold Coast,Manufacturing,Data Scientist,3,12.75,PyTorch,0
Melbourne,Healthcare,AI Engineer,7,19.53,AWS AI,1
Perth,Finance,ML Engineer,7,18.57,PyTorch,1
Gold Coast,Finance,ML Engineer,9,24.47,Azure AI,1
Gold Coast,Finance,Data Scientist,10,24.19,Scikit-learn,1
Sydney,Manufacturing,Data Scientist,3,14.24,AWS AI,0
Sydney,EdTech,AI Researcher,11,29.41,Scikit-learn,1
Wollongong,Healthcare,Data Analyst,7,18.26,ChatGPT,0
Gold Coast,E-commerce,ML Engineer,9,24.68,PyTorch,0
Townsville,E-commerce,AI Engineer,2,8.93,Scikit-learn,0
Newcastle,E-commerce,AI Researcher,8,26.76,ChatGPT,1
Gold Coast,Healthcare,Data Scientist,2,7.21,TensorFlow,1
Newcastle,Healthcare,AI Researcher,10,30.01,Scikit-learn,1
Newcastle,Healthcare,AI Researcher,4,14.48,PyTorch,0
Gold Coast,IT,AI Researcher,0,8.87,TensorFlow,1
Brisbane,E-commerce,Data Analyst,0,3.32,TensorFlow,1
Brisbane,IT,ML Engineer,8,24.5,Azure AI,0
Townsville,IT,Data Analyst,11,27.28,TensorFlow,1
Gold Coast,Finance,AI Engineer,8,18.02,ChatGPT,1
Sydney,Manufacturing,AI Engineer,0,3.0,Scikit-learn,1
Townsville,Healthcare,Data Scientist,7,18.78,ChatGPT,1
Wollongong,Finance,ML Engineer,2,9.71,Azure AI,1
Wollongong,Manufacturing,Data Analyst,8,21.64,Scikit-learn,0
Wollongong,EdTech,AI Engineer,5,12.69,ChatGPT,0
Sydney,IT,ML Engineer,3,12.5,Azure AI,0
Brisbane,IT,Data Analyst,9,21.42,PyTorch,1
Gold Coast,Finance,Data Analyst,9,21.31,Azure AI,1
Melbourne,IT,ML Engineer,2,11.41,Scikit-learn,1
Townsville,Manufacturing,ML Engineer,2,8.52,ChatGPT,1
Melbourne,Finance,Data Analyst,8,20.16,PyTorch,0
Cairns,Manufacturing,AI Engineer,4,8.43,ChatGPT,0
Brisbane,Healthcare,AI Engineer,4,12.47,TensorFlow,0
Newcastle,Healthcare,ML Engineer,11,29.84,TensorFlow,0
Townsville,Finance,AI Engineer,2,7.72,Scikit-learn,1
Sydney,Manufacturing,Data Scientist,3,7.69,Scikit-learn,0
Gold Coast,E-commerce,Data Scientist,8,18.14,ChatGPT,0
Brisbane,Healthcare,ML Engineer,11,26.09,TensorFlow,1
Newcastle,Healthcare,AI Engineer,7,18.09,TensorFlow,0
Gold Coast,Healthcare,AI Researcher,10,29.7,Azure AI,1
Cairns,IT,Data Scientist,9,20.52,Scikit-learn,0
Newcastle,Finance,AI Engineer,1,5.13,ChatGPT,0
Townsville,IT,Data Scientist,5,12.4,ChatGPT,1
Newcastle,E-commerce,ML Engineer,0,6.22,TensorFlow,0
Adelaide,IT,ML Engineer,1,7.54,ChatGPT,0
Sydney,EdTech,AI Engineer,10,24.27,AWS AI,1
Townsville,E-commerce,Data Analyst,4,9.13,AWS AI,1
Cairns,EdTech,AI Engineer,11,23.9,PyTorch,1
Gold Coast,EdTech,ML Engineer,7,22.28,AWS AI,1
Gold Coast,EdTech,Data Analyst,0,5.65,TensorFlow,0
Wollongong,Finance,Data Analyst,0,5.41,Scikit-learn,0
Wollongong,Healthcare,Data Analyst,7,15.91,TensorFlow,0
Sydney,EdTech,AI Engineer,7,18.96,Scikit-learn,1
Townsville,E-commerce,Data Analyst,0,5.97,AWS AI,1
Brisbane,E-commerce,Data Scientist,8,18.85,PyTorch,1
Melbourne,Finance,Data Scientist,8,20.68,Azure AI,1
Newcastle,Manufacturing,Data Analyst,7,15.3,Azure AI,1
Wollongong,Healthcare,AI Engineer,2,7.43,AWS AI,1
Perth,Finance,Data Analyst,11,23.3,ChatGPT,1
Cairns,E-commerce,ML Engineer,6,17.28,PyTorch,0
Brisbane,Healthcare,AI Researcher,7,23.61,AWS AI,1
Adelaide,Finance,ML Engineer,2,11.92,AWS AI,1
Townsville,Manufacturing,ML Engineer,10,28.95,ChatGPT,0
Cairns,EdTech,AI Researcher,0,5.47,Scikit-learn,1
Townsville,E-commerce,AI Engineer,7,16.04,Azure AI,1
Gold Coast,Finance,AI Engineer,5,15.1,ChatGPT,1
Cairns,EdTech,AI Researcher,3,16.79,PyTorch,1
Melbourne,E-commerce,AI Engineer,4,15.5,TensorFlow,1
Adelaide,Manufacturing,Data Analyst,9,22.71,AWS AI,1
Newcastle,Healthcare,ML Engineer,3,16.64,AWS AI,1
Perth,EdTech,AI Engineer,5,12.3,TensorFlow,1
Townsville,E-commerce,AI Engineer,5,11.52,ChatGPT,0
Cairns,Manufacturing,AI Engineer,2,7.07,AWS AI,1
Perth,Healthcare,AI Engineer,7,20.52,Scikit-learn,1
Melbourne,Finance,AI Engineer,3,11.34,TensorFlow,1
Adelaide,E-commerce,ML Engineer,10,23.71,ChatGPT,1
Melbourne,IT,Data Analyst,2,8.73,Scikit-learn,0
Brisbane,EdTech,AI Researcher,1,7.8,ChatGPT,1
Adelaide,E-commerce,Data Scientist,10,22.43,PyTorch,0
Adelaide,Finance,Data Analyst,3,10.51,PyTorch,1
Adelaide,Finance,Data Analyst,0,3.38,Azure AI,0
Melbourne,EdTech,ML Engineer,5,18.51,ChatGPT,1
Townsville,IT,AI Researcher,3,16.16,Scikit-learn,1
Perth,Finance,ML Engineer,0,12.24,AWS AI,0
Cairns,Finance,AI Researcher,4,16.58,Scikit-learn,1
Townsville,Manufacturing,Data Analyst,6,18.27,PyTorch,1
Sydney,EdTech,AI Engineer,7,16.52,PyTorch,1
Cairns,Finance,Data Analyst,4,11.6,PyTorch,1
Adelaide,EdTech,ML Engineer,10,27.94,AWS AI,1
Cairns,Finance,Data Analyst,1,6.09,ChatGPT,1
Newcastle,E-commerce,AI Engineer,11,24.15,ChatGPT,1
Melbourne,Finance,AI Researcher,1,10.72,ChatGPT,1
Perth,Healthcare,AI Engineer,5,14.39,ChatGPT,0
Newcastle,E-commerce,Data Analyst,6,17.17,Scikit-learn,1
Newcastle,Healthcare,AI Engineer,6,16.67,ChatGPT,1
Melbourne,Manufacturing,Data Scientist,10,24.02,AWS AI,1
Wollongong,Finance,AI Researcher,7,22.94,PyTorch,1
Melbourne,EdTech,Data Analyst,3,6.93,AWS AI,1
Sydney,Healthcare,ML Engineer,2,10.53,Scikit-learn,0
Melbourne,EdTech,Data Scientist,11,21.13,TensorFlow,1
Perth,IT,Data Scientist,0,4.66,AWS AI,0
Sydney,Finance,Data Analyst,6,14.45,PyTorch,0
Wollongong,Healthcare,Data Scientist,4,13.99,TensorFlow,1
Brisbane,Healthcare,Data Scientist,0,5.68,TensorFlow,1
Brisbane,Manufacturing,Data Scientist,8,18.13,TensorFlow,1
Cairns,Healthcare,AI Researcher,9,28.35,Scikit-learn,1
Sydney,Finance,AI Engineer,3,10.49,Azure AI,1
Newcastle,E-commerce,AI Researcher,11,30.87,TensorFlow,1
Perth,Manufacturing,Data Scientist,9,18.91,TensorFlow,1
Melbourne,Manufacturing,Data Analyst,2,6.99,Scikit-learn,1
Cairns,E-commerce,AI Researcher,3,15.0,ChatGPT,1
Perth,IT,ML Engineer,4,15.29,Scikit-learn,1
Gold Coast,IT,AI Researcher,2,13.29,PyTorch,1
Melbourne,EdTech,Data Analyst,8,18.34,Azure AI,1
Wollongong,Manufacturing,ML Engineer,7,20.13,Azure AI,1
Cairns,EdTech,AI Researcher,3,12.46,ChatGPT,1
Townsville,Manufacturing,Data Scientist,10,25.03,TensorFlow,1
Sydney,Manufacturing,Data Scientist,8,21.81,Azure AI,0
Gold Coast,IT,ML Engineer,2,9.5,Scikit-learn,0
Gold Coast,Finance,ML Engineer,11,29.62,ChatGPT,1
Newcastle,Healthcare,Data Scientist,1,6.39,PyTorch,1
Cairns,IT,AI Researcher,5,20.82,ChatGPT,1
Perth,IT,ML Engineer,11,29.27,PyTorch,1
Melbourne,Manufacturing,Data Scientist,7,16.1,TensorFlow,1
Melbourne,E-commerce,Data Scientist,4,14.14,ChatGPT,1
Brisbane,EdTech,ML Engineer,5,15.36,PyTorch,1
Adelaide,Healthcare,Data Analyst,11,29.02,Azure AI,1
Townsville,Finance,Data Scientist,1,3.0,Azure AI,1
Gold Coast,IT,ML Engineer,11,26.8,AWS AI,1
Brisbane,IT,Data Scientist,4,13.46,ChatGPT,1
Adelaide,Manufacturing,Data Scientist,5,14.86,ChatGPT,1
Wollongong,IT,Data Scientist,10,23.42,TensorFlow,0
Wollongong,E-commerce,AI Engineer,1,8.72,AWS AI,1
Wollongong,Healthcare,Data Scientist,8,19.42,ChatGPT,1
Wollongong,Finance,Data Scientist,9,23.18,TensorFlow,0
Wollongong,EdTech,ML Engineer,9,23.28,ChatGPT,1
Newcastle,EdTech,ML Engineer,8,22.02,TensorFlow,0
Adelaide,Manufacturing,Data Scientist,6,17.57,AWS AI,1
Adelaide,Healthcare,ML Engineer,4,11.55,Azure AI,1
Melbourne,Healthcare,Data Scientist,0,3.0,AWS AI,1
Brisbane,E-commerce,Data Scientist,11,25.66,Azure AI,0
Adelaide,Finance,AI Researcher,2,11.53,TensorFlow,1
Melbourne,Healthcare,Data Scientist,7,16.07,Scikit-learn,1
Townsville,Healthcare,AI Engineer,5,13.03,ChatGPT,1
Townsville,EdTech,AI Researcher,11,30.75,Azure AI,1
Sydney,Manufacturing,AI Engineer,0,6.89,AWS AI,1
Townsville,EdTech,Data Scientist,7,18.74,Scikit-learn,1
Adelaide,Manufacturing,ML Engineer,0,7.84,TensorFlow,1
Brisbane,Healthcare,AI Engineer,0,3.35,Azure AI,1
Adelaide,Finance,AI Engineer,7,19.84,Scikit-learn,1
Cairns,IT,AI Engineer,9,22.59,TensorFlow,1
Newcastle,Finance,AI Researcher,2,15.28,Scikit-learn,1
Townsville,Finance,ML Engineer,9,21.24,TensorFlow,0
Perth,EdTech,AI Engineer,4,12.76,PyTorch,1
Sydney,Healthcare,Data Analyst,5,16.03,ChatGPT,1
Wollongong,E-commerce,Data Analyst,0,3.0,PyTorch,1
Gold Coast,EdTech,Data Scientist,9,21.53,TensorFlow,1
Cairns,IT,Data Scientist,11,27.06,Azure AI,1
Gold Coast,EdTech,AI Researcher,11,29.49,ChatGPT,0
Melbourne,IT,Data Scientist,9,22.8,PyTorch,1
Brisbane,EdTech,AI Engineer,8,18.5,AWS AI,1
Newcastle,IT,AI Researcher,1,8.33,Azure AI,0
Adelaide,IT,AI Engineer,8,18.57,Azure AI,1
Gold Coast,Manufacturing,Data Analyst,10,23.01,TensorFlow,1
Gold Coast,E-commerce,AI Engineer,6,14.91,PyTorch,1
Cairns,EdTech,Data Analyst,0,3.0,TensorFlow,1
Sydney,Finance,AI Researcher,10,29.48,Azure AI,1
Townsville,E-commerce,Data Scientist,7,18.12,Azure AI,0
Perth,E-commerce,AI Researcher,1,11.07,TensorFlow,1
